Project,hole_id,depth_from,depth_to,ModelStratigraphy
RSS,RSS13,34.2,41.1,RAT
RSS,RSS13,41.1,46.8,RSF/DSTRAT
RSS,RSS13,46.8,51.2,RSF/DSTRAT
RSS,RSS13,51.2,62.9,RSC
RSS,RSS13,62.9,66.2,SD
RSS,RSS13,66.2,124.2,SD
RSS,RSS13,124.2,137.8,BOMZ
RSS,RSS13,137.8,153.3,CMN
RSS,RSS13,153.3,180,CMN
RSS,RSS14,0,23.2,LATERITE
RSS,RSS14,23.2,71.3,RAT
RSS,RSS14,71.3,72.6,RSF/DSTRAT
RSS,RSS14,72.6,73.2,RSF/DSTRAT
RSS,RSS14,73.2,88,RSC
RSS,RSS14,88,96,SD
RSS,RSS14,96,137.7,SD
RSS,RSS14,137.7,161.6,BOMZ
RSS,RSS14,161.6,188.6,CMN
RSS,RSS15,0,1.2,SOIL
RSS,RSS15,1.2,48,LATERITE
RSS,RSS15,48,78.5,RAT
RSS,RSS15,78.5,88.2,MV
RSS,RSS15,97,97.6,RSF/DSTRAT
RSS,RSS15,97.6,108.4,RSC
RSS,RSS15,108.4,125,SD
RSS,RSS15,125,153,SD
RSS,RSS15,153,165,BOMZ
RSS,RSS15,165,193.8,CMN
RSS,RSS15,88.2,97,RSF/DSTRAT
RSS,RSS17,0,5.5,LATERITE
RSS,RSS17,5.5,66.2,RAT
RSS,RSS17,66.2,78.4,MV
RSS,RSS17,78.4,80.8,RSF/DSTRAT
RSS,RSS17,80.8,82.9,RSF/DSTRAT
RSS,RSS17,82.9,92.7,RSC
RSS,RSS17,92.7,114.7,SD
RSS,RSS17,114.7,140.9,SD
RSS,RSS17,140.9,145.7,BOMZ
RSS,RSS17,145.7,153.2,CMN
